pnr_number,complaint_description,category,subcategory,complaint_status,complaint_id,complainant_id,Images,Audio,Video,Date_of_issue,Complaint_create_at
4620089415,"The washbasin in the coach was not functioning properly. It was leaking water everywhere, making the floor slippery. The coach interior was also dirty, with stains on the seats. We had to wait for a long time to get a clean coach. The staff was unresponsive to our complaints. ",Coach Cleanliness,Coach Interior,Closed,1,1234561,,,,7/1/2024,7/1/2024
4620089416,The food served in the train was not hygienic. It was overpriced and the quality was poor. The staff was not helpful in resolving the issue. ,Catering & vending Services,Service Quality & Hygiene,Under Investigation,2,2345672,,,,7/1/2024,7/2/2024
4620089417,"The divyangjan coach was not available. We had to travel in a general coach, which was not suitable for our needs. The staff was not aware of the facility and could not provide any assistance. ",Divyangjan Facilities,Divyangjan coach unavailability,Resolved,3,3456783,,,,7/2/2024,7/3/2024
4620089418,The water vending machines were not working. We had to purchase bottled water at an inflated price. The staff was not responsive to our complaints. ,Water Availability,Water Vending Machines,Awaiting Response,4,4567894,,,, 01-07-2024,7/4/2024
4620089419,"The coach exterior was dirty, with graffiti and stains. The staff was not taking any action to clean the coach. ",Coach Cleanliness,Coach Exterior,In Progress,5,5678905,,,,7/3/2024,7/5/2024
4620089420,The staff was misbehaving with the passengers. They were not helpful and were not responding to our complaints. ,Staff Behaviour,Staff Behaviour,Escalated,6,6789016,,,,7/3/2024,7/4/2024
4620089421,The toilet was not clean. It was stinking and there were cockroaches present. The staff was not taking any action to clean the toilet. ,Coach Cleanliness,Toilet,Closed,7,9876547,,,,7/4/2024,7/5/2024
4620089422,The NTES app was not showing the correct train schedule. We had to wait for a long time to board the train. The staff was not helpful in resolving the issue. ,Punctuality,NTES APP,Under Investigation,8,8765438,,,,7/4/2024,7/6/2024
4620089423,The baby food was not available. We had to purchase it from outside the train. The staff was not aware of the facility and could not provide any assistance. ,Facilities for women with special needs,Baby Food,Resolved,9,7654329,,,,7/5/2024,7/7/2024
4620089424,"The coach interior was dirty, with stains on the seats. The staff was not taking any action to clean the coach. ",Coach Cleanliness,Coach Interior,Awaiting Response,10,6543210,,,,7/5/2024,7/8/2024
4620089425,The staff was not helpful in resolving the issue. They were not responsive to our complaints. ,Staff Behaviour,Staff Behaviour,Escalated,11,5432101,,,,7/6/2024,7/9/2024
4620089426,The water was not available in the train. We had to purchase bottled water at an inflated price. The staff was not responsive to our complaints. ,Water Availability,Packaged Drinking Water / Rail Neer,Closed,12,4321092,,,,7/6/2024,7/10/2024
4620089427,The retiring room was not available. We had to wait for a long time to get a clean retiring room. The staff was not helpful in resolving the issue. ,Water Availability,Retiring Room / Waiting Room,Awaiting Response,13,3210983,,,,7/7/2024,7/11/2024
4620089428,The toilet was not clean. It was stinking and there were cockroaches present. The staff was not taking any action to clean the toilet. ,Coach Cleanliness,Toilet,Escalated,14,2109874,,,,7/7/2024,7/12/2024
4620089429,The staff was misbehaving with the passengers. They were not helpful and were not responding to our complaints. ,Staff Behaviour,Staff Behaviour,Closed,15,1098765,,,,7/8/2024,7/13/2024
4620089430,The train was late. We had to wait for a long time to board the train. The staff was not helpful in resolving the issue. ,Punctuality,Late Running,Awaiting Response,16,8907656,,,,7/8/2024,7/14/2024
4620089431,"The coach exterior was dirty, with graffiti and stains. The staff was not taking any action to clean the coach. ",Coach Cleanliness,Coach Exterior,Solved,17,7685467,,,,7/9/2024,7/15/2024
4620089432,The staff was not aware of the facility and could not provide any assistance. We had to purchase baby food from outside the train. ,Facilities for women with special needs,Baby Food,Resolved,18,6543678,,,,7/9/2024,7/16/2024
4620089433,The staff was not helpful in resolving the issue. They were not responsive to our complaints. ,Staff Behaviour,Staff Behaviour,In Progress,19,5432169,,,,7/10/2024,7/17/2024
4620089434,The water vending machines were not working. We had to purchase bottled water at an inflated price. The staff was not responsive to our complaints. ,Water Availability,Water Vending Machines,Reopened,20,4321090,,,,7/10/2024,7/18/2024
4620089435,"The coach interior was dirty, with stains on the seats. The staff was not taking any action to clean the coach. ",Coach Cleanliness,Coach Interior,Partially Resolved,21,3210981,,,,7/11/2024,7/19/2024
4620089436,The staff was misbehaving with the passengers. They were not helpful and were not responding to our complaints. ,Staff Behaviour,Staff Behaviour,In Progress,22,2109872,,,,7/11/2024,7/20/2024
4620089437,The toilet was not clean. It was stinking and there were cockroaches present. The staff was not taking any action to clean the toilet. ,Coach Cleanliness,Toilet,Reopened,23,1098763,,,,7/12/2024,7/21/2024
4620089438,The NTES app was not showing the correct train schedule. We had to wait for a long time to board the train. The staff was not helpful in resolving the issue. ,Punctuality,NTES APP,Partially Resolved,24,8907654,,,,7/12/2024,7/22/2024
4620089439,The baby food was not available. We had to purchase it from outside the train. The staff was not aware of the facility and could not provide any assistance. ,Facilities for women with special needs,Baby Food,Resolved,25,7685465,,,,7/13/2024,7/23/2024
4620089440,"The coach exterior was dirty, with graffiti and stains. The staff was not taking any action to clean the coach. ",Coach Cleanliness,Coach Exterior,Pending,26,6543676,,,,7/13/2024,7/24/2024
4620089441,The staff was not helpful in resolving the issue. They were not responsive to our complaints. ,Staff Behaviour,Staff Behaviour,Delayed,27,5432167,,,,7/14/2024,7/25/2024
4620089442,The water was not available in the train. We had to purchase bottled water at an inflated price. The staff was not responsive to our complaints. ,Water Availability,Packaged Drinking Water / Rail Neer,Escalated,28,4321096,,,,7/14/2024,7/26/2024
4620089443,The retiring room was not available. We had to wait for a long time to get a clean retiring room. The staff was not helpful in resolving the issue. ,Water Availability,Retiring Room / Waiting Room,Abandoned,29,3210987,,,,7/15/2024,7/27/2024
4620089415,The washbasin in our coach was clogged and there was no water available. The train was delayed by 2 hours due to this issue. The staff was also not cooperative in resolving the issue.,Coach Cleanliness,Washbasin,Delayed,30,2109878,,,,7/15/2024,7/28/2024
4620089416,I booked an e-catering service but the food was not delivered on time. The staff also did not provide any compensation for the delay.,Catering & vending Services,E-Catering,Escalated,31,1098769,,,,7/16/2024,7/29/2024
4620089417,The security personnel in our train were not polite and were harassing a lady passenger. This was a very uncomfortable experience for us.,Security,Harassment/Extortion by Security Personnel/Railway personnel,Abandoned,32,8907659,,,,7/16/2024,7/30/2024
